Falseniella,Lactobacillaeles
Priestia,Bacillales
Lacticaseibacillus,Lactobacillales
Limosilactobacillus,Lactobacillales
Gleimia,Actinomycetales
Schaalia,Actinomycetales
Cutibacterium,Propionibacteriales
Pseudoglutamicibacter,Micrococcales
Actinotignum,Actinomycetales
Trueperella,Actinomycetales
Rothia,Fabales
Nosocomiicoccus,Bacillales
Alloscardovia,Bifidobacteriales
Pseudoclavibacter,Micrococcales
Proteus,Caudata
Varibaculum,Actinomycetales
Dolosicoccus,Lactobacillales
Anaerococcus,Tissierellales
Finegoldia,Tissierellales
Granulicatella,Lactobacillales
Morganella,Hemiptera
Morganella,Agaricales
Oligella,Burkholderiales
Gordonia,Ericales
Facklamia,Lactobacillales
Kytococcus,Micrococcales
Dermacoccus,Micrococcales
Kocuria,Micrococcales
Bacillus,Phasmatodea
Pantoea,Enterobacterales
Paenibacillus,Bacillales
Brachybacterium,Micrococcales
Dermabacter,Micrococcales
Microbacterium,Micrococcales
Rothia,Micrococcales
Sphingomonas,Sphingomonadales
Globicatella,Lactobacillales
Gardnerella,Bifidobacteriales
Gordonia,Corynebacteriales
Curtobacterium,Micrococcales
Corynebacterium,Corynebacteriales
Brevibacterium,Micrococcales
Bifidobacterium,Bifidobacteriales
Actinomyces,Actinomycetales
Lactobacillus,Lactobacillales
Bacillus,Bacillales
Gemella,Bacillales
Aerococcus,Lactobacillales
Enterococcus,Lactobacillales
Streptococcus,Lactobacillales
Staphylococcus,Bacillales
Micrococcus,Micrococcales
Fusobacterium,Fusobacteriales
Prevotella,Bacteroidales
Haemophilus,Pasteurellales
Shigella,Enterobacterales
Proteus,Enterobacterales
Morganella,Enterobacterales
Klebsiella,Enterobacterales
Escherichia,Enterobacterales
Enterobacter,Enterobacterales
Citrobacter,Enterobacterales
Neisseria,Neisseriales
Moraxella,Moraxellales
Acinetobacter,Moraxellales
Pseudomonas,Pseudomonadales
Campylobacter,Campylobacterales